acceptedScientificName	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters
Parus major	11.857443	45.266485	27190
Parus major	11.744329	44.70713	27285
Parus major	12.235556	45.494344	1
Parus major	11.227432	46.498776	26999
Parus major	11.632809	44.778006	1278
Parus major	15.083506	37.511053	187
Parus major	12.416656	45.485391	451
Parus major	9.262586	44.8992	4
Parus major	11.389562	45.223528	27190
Parus major	7.201044	44.857907	15
Parus major	7.200972	44.857811	15
Parus major	7.200833	44.857392	20
Parus major	9.262614	44.896584	15
Parus major	7.051742	44.888814	244
Parus major	9.242538	45.489539	62
Parus major	9.674089	45.946649	23
Parus major	9.665798	45.953176	36
Parus major	7.447134	44.99538	15
Parus major	11.12216	46.429948	219
Parus major	11.12216	46.429948	219
Parus major	11.12216	46.429948	219
Parus major	11.12216	46.429948	219
Parus major	7.712255	45.068457	
Parus major	8.494905	45.944839	31
Parus major	8.499677	45.943068	31
Parus major	11.298482	45.642725	23
Parus major	12.535552	46.046876	53
Parus major	11.970984	45.325882	27190
Parus major	11.511301	42.730103	2
Parus major	7.700678	44.499416	97
Parus major	11.948439	45.49337	365
Parus major	7.724185	44.421385	371
Parus major	12.27581	45.472182	1
Parus major	10.963427	46.533448	238
Parus major	7.664927	44.792758	565
Parus major	17.962449	40.260105	4
Parus major	7.666203	44.792778	
Parus major	7.664927	44.792758	565
Parus major	11.917396	45.266977	27190
Parus major	12.241027	45.497067	1
Parus major	7.730495	44.421466	61
Parus major	8.286258	44.831778	2
Parus major	15.081725	37.47905	195
Parus major	9.120009	45.62322	330
Parus major	7.664927	44.792758	565
Parus major	9.384338	45.705439	
Parus major	16.559785	40.815959	31
Parus major	11.234003	46.134124	4
Parus major	13.491323	46.169908	27063
Parus major	10.463736	43.846888	15
Parus major	9.120075	39.367496	67
Parus major	7.19846	44.855888	50
Parus major	8.167133	44.95084	9
Parus major	10.201062	45.11978	201
Parus major	7.74496	45.059127	183
Parus major	17.870893	40.285236	8
Parus major	7.724185	44.421385	371
Parus major	8.944257	45.018354	2281
Parus major	12.483623	41.913727	12
Parus major	17.963106	40.260224	4
Parus major	7.664927	44.792758	565
Parus major	8.940289	45.764306	68
Parus major	9.216367	45.615463	4
Parus major	7.19884	44.85601	45
Parus major	7.489353	45.73652	38
Parus major	7.664927	44.792758	565
Parus major	7.666137	44.792763	
Parus major	9.895709	45.835259	5
Parus major	12.012101	45.295817	17
Parus major	8.380973	45.803397	5
Parus major	11.343932	45.519321	13
Parus major	8.110441	44.92614	4
Parus major	8.110748	44.925787	4
Parus major	8.107787	44.908563	1
Parus major	10.84098	45.357991	7
Parus major	11.195671	43.844381	16
Parus major	8.944899	45.681564	
Parus major	9.338286	45.832014	646
Parus major	11.084558	46.128191	8
Parus major	7.664927	44.792758	565
Parus major	14.377749	42.129722	31
Parus major	7.222574	44.816005	15
Parus major	9.804635	45.639887	27126
Parus major	10.907112	44.652238	1
Parus major	10.904824	44.649011	1
Parus major	10.999412	45.907897	
Parus major	9.357312	45.436452	671
Parus major	9.357026	45.439147	335
Parus major	10.193755	45.551851	115
Parus major	16.565096	40.843745	8
Parus major	10.93446	45.818398	
Parus major	7.681668	44.860569	31
Parus major	9.275471	45.488229	671
Parus major	8.16152	44.831953	2299
Parus major	10.907112	44.652238	1
Parus major	7.454474	45.001937	8
Parus major	7.4682	44.989831	1180
Parus major	7.452686	45.00327	31
Parus major	12.261334	45.475077	1
Parus major	12.279183	45.475552	1
Parus major	7.664455	44.795103	260
Parus major	8.146586	45.991148	8
Parus major	8.700308	46.06723	31
Parus major	16.3137	39.8291	
Parus major	16.3159	39.8333	
Parus major	16.602	39.3952	
Parus major	8.853993	44.933758	250
Parus major	9.07366	45.445251	250
Parus major	10.38387	45.14695	10
Parus major	7.664927	44.792758	565
Parus major	8.0722	44.89442	12
Parus major	8.087353	44.895725	5
Parus major	7.664927	44.792758	565
Parus major	12.359343	45.42706	1
Parus major	12.264469	45.484632	1
Parus major	11.315356	45.64039	751
Parus major	7.666163	44.792783	31
Parus major	10.171436	45.550998	157
Parus major	11.19601	43.8441	6
Parus major	17.830368	40.286513	8
Parus major	11.624052	44.853397	318
Parus major	11.368098	45.262471	27190
Parus major	12.266464	45.482392	1
Parus major	12.261492	45.517205	1
Parus major	12.255724	45.515599	1
Parus major	7.665922	44.792797	
Parus major	9.175079	45.476637	15
Parus major	10.934143	45.818198	
Parus major	10.932496	44.649957	1
Parus major	10.907282	44.650732	1
Parus major	10.932917	44.650931	1
Parus major	10.94495	44.637489	1
Parus major	10.932803	44.649739	1
Parus major	10.931676	44.649781	1
Parus major	10.933386	44.64973	1
Parus major	10.933716	44.649518	1
Parus major	10.933648	44.648867	1
Parus major	7.664927	44.792758	565
Parus major	9.409146	45.709644	14
Parus major	17.925079	40.20696	15
Parus major	9.959672	45.761095	27126
Parus major	9.424468	45.718466	66
